type,题号,question_zh,A,B,C,D,answer,question_en,A_EN,B_EN,C_EN,D_EN,answer,标准答案（中文）,参考译文（EN）
单选题,S1,EE-W控制器的主要控制对象是？,风冷机组,水冷一次泵系统,冷却塔组,末端风机盘管,B,What is the main control target of the EE-W controller?,Air-cooled units,Primary chilled water pump system,Cooling tower group,Terminal fan coil units,B,,
单选题,S2,EE-W10最多可控制多少台水泵？,3台,5台,6台,8台,C,How many pumps can EE-W10 control at most?,3 units,5 units,6 units,8 units,C,,
单选题,S3,冷冻机启停控制的主要依据是？,机房负荷需求,设定温度值,电流参数,冷却水流量,A,What is the main basis for starting and stopping the chiller?,Plant load demand,Set temperature value,Current parameters,Cooling water flow rate,A,,
单选题,S4,EE-W 系列产品的主要用途是什么？,控制风冷式冷冻机房,实现水冷式一次变流量冷冻机房的自动控制,仅控制水泵运行,调节冷却塔的水温,B,What is the main application of the EE-W product series?,Control air-cooled chiller plants,Achieve automatic control of primary variable flow chilled water plants,Only control pump operation,Adjust cooling tower water temperature,B,,
单选题,S5,等大水泵最多可控制多少台（含备用泵）？,3 台,4 台,5 台,6 台,D,What is the maximum number of equal pumps controllable (including backup)?,3 units,4 units,5 units,6 units,D,,
单选题,S6,不能根据以下哪种信息计算工作冷冻机的最佳台数？,机房负荷,冷冻水温度设定值的差异,冷却塔的高度,冷冻机电气负荷,C,Which of the following cannot be used to calculate the optimal number of chillers?,Plant load,Difference in chilled water setpoint,Cooling tower height,Chiller electrical load,C,,
单选题,S7,与隔离阀接口相关的操作不包括以下哪项？,利用数字输出打开和关闭阀门,利用数字输入获得阀门启/闭状态反馈,自动调节隔离阀的流量大小,根据控制逻辑控制隔离阀的动作,C,Which of the following is NOT related to isolation valve interface?,Use digital output to open/close valve,Use digital input to get feedback,Automatically adjust valve flow rate,Control logic to operate valve,C,,
单选题,S8,泵的启/闭控制依据是什么？,随机启动,根据效率点组合,时间顺序启动,固定配比启动,B,What is the basis for pump start/stop in DE pump mode?,Random start,Efficiency-based combination,Start in sequence,Fixed ratio per chiller,B,,
单选题,S9,调节旁通阀的主要目的是？,维持最高流量,维持最低流量,流量恒定,温度调节流量,B,What is the main purpose of bypass valve adjustment?,Maintain max flow,Maintain minimum flow,Keep flow constant,Adjust flow by temperature,B,,
单选题,S10,不包括以下哪项控制逻辑？,基于需求控制冷冻机数量,仅时间控制水泵转速,持续监控区域信号,调节旁通阀维持流量,B,Which is NOT included in control logic?,Chiller count by demand,Pump speed by time only,Area signal monitoring,Bypass valve adjustment,B,,
单选题,S11,控制冷冻机顺序时，以下哪个不是考虑因素？,机房负荷,冷冻机高流量状态,户外温度传感器数据,冷冻机的颜色,D,Which is NOT a factor in chiller sequencing?,Plant load,High flow status,Outdoor temp sensor,Chiller color,D,,
单选题,S12,依据什么信号决定泵速？,仅区域温度,仅区域差压,差压或温度信号,总压力传感器,C,What determines pump speed?,Zone temperature only,Zone differential pressure only,Either temperature or pressure,Total pressure sensor,C,,
单选题,S13,适用于以下哪种系统？,仅舒适制冷,仅工艺制冷,舒适或工艺制冷,制热系统,C,What systems is EE-W applicable for?,Comfort cooling only,Process cooling only,Comfort or process cooling,Heating system,C,,
单选题,S14,大小主机的运行规则？,随意开启,不能同时开,小主机优先,大主机优先,B,What is the rule for large/small chillers?,Start freely,Cannot start together,Small chiller first,Large chiller first,B,,
单选题,S15,冷却水泵如何分组？,功率大小,颜色,与冷机组关联,随机分组,C,How to group same cooling water pumps?,By power,By color,By chiller connection,Randomly,C,,
单选题,S16,设备超过5台如何处理？,无法控制,增加控制器,采用非标 NCP,减少设备,B,What if equipment exceeds 5 units?,Not controllable,Add controller,Use non-standard NCP,Reduce equipment,B,,
单选题,S17,冷冻机流量维持方式？,调泵启停,调泵转速,两者都调,手动调阀,C,How to maintain chiller flow?,Pump start/stop,Pump speed,Both,Manual valve,C,,
单选题,S18,非 DE 泵启/闭模式？,效率点组合,一台冷机配一台泵,全部启动,随机启动,B,What is non-DE pump mode?,Efficiency combination,One chiller per pump,Start all,Random start,B,,
单选题,S19,如何实现通信控制？,无法通信,协议映射,特定品牌协议,手动参数设置,B,How to achieve chiller communication?,Cannot communicate,Protocol mapping,Brand-specific only,Manual settings,B,,
单选题,S20,节能优势主要体现？,新制冷技术,优化控制逻辑,减少设备,增加功率,B,Where is the energy saving benefit?,New refrigeration tech,Optimized logic,Fewer devices,Increased power,B,,
单选题,S21,安装阶段不包括哪项？,低风险安装,避免延迟,增加成本,减少安装时间,C,Which is NOT an installation advantage?,Low-risk install,Avoid delay,Increase cost,Reduce time,C,,
单选题,S22,运营风险降低多少？,10% - 20%,20% - 40%,40% - 60%,60% - 80%,D,How much risk reduction in operation?,10% - 20%,20% - 40%,40% - 60%,60% - 80%,D,,
单选题,S23,最多减少多少用水量？,8%,10%,12%,15%,D,Max water saving?,8%,10%,12%,15%,D,,
单选题,S24,回报期通常多久？,不到 1 年,1 - 2 年,2 - 3 年,3 - 5 年,B,Typical ROI period?,Less than 1 year,1 - 2 years,2 - 3 years,3 - 5 years,B,,
单选题,S25,如何确保运行符合设计意图？,人工检查,优化逻辑+远程支持,增加监测点,更换部件,B,How to ensure design intent operation?,Manual check,Logic + remote support,More monitors,Replace parts,B,,
多选题,M1,EE-W 系列产品的应用场合包括（多选）,舒适制冷系统,工艺制冷系统,风冷式冷冻机房,水冷式一次变流量冷冻机房,"A,B,D",Application scenarios of EE-W series products include (Multiple choice),Comfort cooling systems,Process cooling systems,Air-cooled chiller plants,Water-cooled primary variable flow chiller plants,"A,B,D",,
多选题,M2,EE-W 系统不能用于控制什么类型的制冷系统？（多选）,水冷,风冷,多联机,热泵,"C,D",EE-W system cannot control which types of cooling systems? (Multiple choice),Water-cooled,Air-cooled,VRF (Variable Refrigerant Flow),Heat pump,"C,D",,
多选题,M3,EE-W 控制器在控制冷冻机时，会考虑以下哪些因素来计算工作冷冻机的最佳台数？（多选）,机房负荷,冷冻水温度设定值的差异,冷冻机电气负荷,冷冻机高流量状态,"A,B,C",Which factors are considered by the EE-W controller when calculating the optimal number of chillers to operate? (Multiple choice),Plant room load,Difference in chilled water temperature setpoints,Chiller electrical load,High flow status of chiller,"A,B,C",,
多选题,M4,EE-W 系列产品中，与隔离阀接口相关的操作有（多选）,利用数字输出打开和关闭阀门,利用数字输入获得阀门启/闭状态反馈,调节隔离阀的流量大小,根据控制逻辑控制隔离阀的动作,"A,B,D",Operations related to the isolation valve interface in EE-W series products include (Multiple choice),Open/close valve via digital output,Receive valve open/close status via digital input,Adjust isolation valve flow rate,Control isolation valve actions via control logic,"A,B,D",,
多选题,M5,EE-W 控制器在变流量一次泵控制方面的特点包括（多选）,若选用 Armstrong DE 泵，根据各泵的最佳效率点计算工作泵组合,依据一台工作冷冻机配一台泵的模式（非 DE 泵时）,配有区域传感器时，依据区域差压或温度传感器信号决定泵速,通过调节维持冷冻机流量在设定范围内,"A,B,C,D",Features of EE-W controller in variable flow primary pump control include (Multiple choice),Calculates pump combinations based on best efficiency point if using Armstrong DE pump,Operates on 1-to-1 chiller-pump mode when not using DE pump,Uses zone pressure or temperature sensors to determine pump speed,Maintains chiller flow rate via regulation,"A,B,C,D",,
多选题,M6,EE-W 控制器的主要控制逻辑涉及：,基于需求大小控制冷冻机台数,冷冻机顺序控制,变流量一次泵控制,区域信号监控与旁通阀调节,"A,B,C,D",The main control logic of EE-W includes:,Chiller quantity based on load,Chiller sequence control,Primary pump variable flow control,Area signal and bypass regulation,"A,B,C,D",,
多选题,M7,EE-W 控制器在冷冻机顺序控制时依据以下哪些信息？,机房负荷,冷冻水温设定差,冷冻机电气负荷,冷冻机高流量状态,"A,B,C",EE-W chiller sequencing is based on:,Plant load,Chilled water setpoint delta,Chiller electrical load,High flow status,"A,B,C",,
多选题,M8,EE-W 与外部 BMS 通信支持的协议有：,Modbus,BACnet,Lonworks,其他行业协议,"A,B,C",Protocols supported by EE-W for BMS communication:,Modbus,BACnet,Lonworks,Other protocols,"A,B,C",,
多选题,M9,EE-W 控制器调节一次泵泵速的依据包括：,区域差压传感器,区域温度传感器,机房就地差压控制曲线,Armstrong DE 泵模式,"A,B,C,D",Basis for adjusting primary pump speed in EE-W:,Area ΔP sensor,Area temp sensor,Local ΔP control curve,Armstrong DE pump mode,"A,B,C,D",,
多选题,M10,EE-W 控制范围涵盖哪些设备：,等大主机最多5台,等大泵最多5台（含备用）,相同冷却泵最多2组,相同冷却塔最多2组,"A,B,C,D",What does EE-W's control range include:,Max 5 identical chillers,Max 5 identical pumps,Max 2 same cooling pump groups,Max 2 same cooling tower groups,"A,B,C,D",,
多选题,M11,EE-W 控制不同品牌冷冻机通信方式包括：,Modbus 映射,BACnet 映射,手动设置通信,Lonworks 映射,"A,B,D",Communication options for multi-brand chillers in EE-W:,Modbus mapping,BACnet mapping,Manual setting,Lonworks mapping,"A,B,D",,
多选题,M12,EE-W 控制冷冻机流量使用哪些方式：,泵启停,泵变频,手动调节阀门,PID 控制逻辑,"A,B,D",Methods for controlling chiller flow by EE-W:,Pump on/off,Pump frequency control,Manual valve,PID control logic,"A,B,D",,
多选题,M13,EE-W 控制器适用于哪些系统类型：,舒适制冷,工艺制冷,风冷热泵系统,水冷变流量系统,"A,B,C,D",EE-W controller is suitable for:,Comfort cooling,Process cooling,Air-cooled heat pump,Water-cooled VPF,"A,B,C,D",,
多选题,M14,EE-W 可通过哪些方式与冷冻机通信控制：,Modbus,BACnet,LonWorks,RS485 模拟信号,"A,B,C",Ways EE-W communicates with chillers:,Modbus,BACnet,LonWorks,RS485 analog,"A,B,C",,
多选题,M15,EE-W 在机房改造阶段的优势有：,降低施工周期,提高能效控制,减少调试工作,增加人工干预,"A,B,C",EE-W benefits in retrofit phase include:,Shorter construction time,Better energy control,Less commissioning work,More manual intervention,"A,B,C",,
多选题,M16,EE-W 系统组成模块有：,主控模块,通信模块,传感器模块,电机保护模块,"A,B,C,D",Modules of EE-W system include:,Main control,Communication,Sensors,Motor protection,"A,B,C,D",,
多选题,M17,影响 EE-W 控制效果的因素有：,传感器安装错误,控制参数未调整,电源电压不稳,网络异常,"A,B,C,D",Factors affecting EE-W control performance:,Wrong sensor location,Improper parameter tuning,Unstable power,Network issues,"A,B,C,D",,
多选题,M18,EE-W 产品用户收益包括：,节能降耗,减少人工调节,提高稳定性,增加运营成本,"A,B,C",EE-W user benefits include:,Energy saving,Less manual tuning,Improved stability,Higher operating cost,"A,B,C",,
多选题,M19,EE-W 自动化价值体现在哪些方面：,减少人工干预,按需动态运行,保障系统安全,增加值班人员,"A,B,C",Automation value of EE-W includes:,Less manual work,On-demand operation,System safety,More shift staff,"A,B,C",,
多选题,M20,EE-W 调试成功的前提条件包括：,正确参数配置,设备接入完成,通信畅通,系统通电运行,"A,B,C,D",Preconditions for EE-W commissioning success:,Correct parameters,Device connected,Smooth communication,System powered on,"A,B,C,D",,
判断题,J1,EE-W10 最多支持 5 台主机控制,正确,错误,,,A,EE-W10 supports up to 5 chiller units.,TRUE,FALSE,,,A,,
判断题,J2,系统支持风冷机组控制,正确,错误,,,A,The system supports air-cooled units.,TRUE,FALSE,,,A,,
判断题,J3,需要手动调节系统隔离阀,正确,错误,,,B,The isolation valve must be adjusted manually.,TRUE,FALSE,,,B,,
判断题,J4,EE-W 控制器支持变流量控制策略,正确,错误,,,A,EE-W controller supports variable flow strategy.,TRUE,FALSE,,,A,,
判断题,J5,EE-W 控制系统能够自动判断负载需求并控制设备启停,正确,错误,,,A,The system can auto-detect load demand and control equipment.,TRUE,FALSE,,,A,,
判断题,J6,EE-W 控制器仅适用于风冷热泵系统,正确,错误,,,B,EE-W controller is only applicable to air-cooled heat pump systems,TRUE,FALSE,,,B,,
判断题,J7,传感器的安装位置会影响控制效果,正确,错误,,,A,Sensor installation position affects control effectiveness,TRUE,FALSE,,,A,,
判断题,J8,EE-W 控制系统支持 BACnet/IP 通讯协议,正确,错误,,,A,EE-W system supports BACnet/IP protocol,TRUE,FALSE,,,A,,
判断题,J9,EE-W 控制器无法调节水泵转速,正确,错误,,,B,EE-W controller cannot adjust pump speed,TRUE,FALSE,,,B,,
判断题,J10,EE-W 控制器支持多品牌冷冻机通信控制,正确,错误,,,A,EE-W controller supports communication with multiple chiller brands,TRUE,FALSE,,,A,,
判断题,J11,冷却水泵的分组不影响 EE-W 控制器的运行,正确,错误,,,B,The grouping of cooling water pumps does not affect the operation of the EE-W controller.,TRUE,FALSE,,,B,,
判断题,J12,EE-W 控制器可以自动调节旁通阀以维持系统稳定,正确,错误,,,A,EE-W controller can automatically regulate bypass valve to maintain system stability.,TRUE,FALSE,,,A,,
判断题,J13,EE-W 控制器不支持主从控制逻辑切换,正确,错误,,,B,EE-W controller does not support master-slave logic switching.,TRUE,FALSE,,,B,,
判断题,J14,EE-W 控制器具有故障告警功能，可实时提示异常状态,正确,错误,,,A,EE-W controller has fault alarm function for real-time alerts.,TRUE,FALSE,,,A,,
判断题,J15,EE-W 系统不支持远程监控与维护,正确,错误,,,B,EE-W system does not support remote monitoring and maintenance.,TRUE,FALSE,,,B,,
判断题,J16,EE-W 控制器在多模块系统中可以实现主从控制切换,正确,错误,,,A,EE-W controller can switch master-slave roles in multi-module systems.,TRUE,FALSE,,,A,,
判断题,J17,控制系统调试成功的前提包括设备接入完整、参数配置正确,正确,错误,,,A,Successful system commissioning requires complete equipment access and correct parameter configuration.,TRUE,FALSE,,,A,,
判断题,J18,EE-W 系统的节能效果不如传统人工控制系统,正确,错误,,,B,EE-W energy efficiency is inferior to traditional manual systems.,TRUE,FALSE,,,B,,
判断题,J19,EE-W 控制器支持控制逻辑和参数的灵活调整以适配现场需求,正确,错误,,,A,EE-W controller allows flexible logic and parameter adjustment.,TRUE,FALSE,,,A,,
判断题,J20,EE-W 控制系统调试成功后不需要任何维护,正确,错误,,,B,No maintenance is required after EE-W system is commissioned.,TRUE,FALSE,,,B,,
简答题,E1,请详细描述三台并联水冷主机的传感器配置方案，包括：1）需要配置的传感器类型及数量；2）安装位置要求；3）通信连接方式。,,,,,EE-W10或者EE-W20，4个温度传感器和1个户外温湿度传感器,Please describe the sensor configuration for three parallel water-cooled chillers: 1) sensor types and quantities; 2) installation positions; 3) communication method.,,,,,"EE-W10 or EE-W20, with 4 temperature sensors and 1 outdoor temperature and humidity sensor.",EE-W10或者EE-W20，4个温度传感器和1个户外温湿度传感器,"EE-W10 or EE-W20, with 4 temperature sensors and 1 outdoor temperature and humidity sensor.）"
