type,id,question_zh,image_url,A,B,C,D,E,question_en,A_EN,B_EN,C_EN,D_EN,E_EN,answer,comments_zh,comments_EN
single,S1,SE - A 系列产品的设计用途是什么？,,实现水冷式一次变流量冷冻机房的自动控制,实现风冷式一次变流量冷冻机房的自动控制,控制风冷式二次变流量冷冻机房,仅控制风冷式冷冻机的启停,,What is the design purpose of the SE - A series products?,Achieve automatic control of water - cooled primary variable - flow chiller plants,Achieve automatic control of air - cooled primary variable - flow chiller plants,Control air - cooled secondary variable - flow chiller plants,Only control the start/stop of air - cooled chillers,,B,,
single,S2,SE - A 系列控制器控制的等大水泵数量（含备用泵）最多为多少台？,,3 台,4 台,5 台,6 台,,What is the maximum number of equal - sized water pumps (including standby pumps) that the SE - A series controller can control?,3 units,4 units,5 units,6 units,,C,,
single,S3,SE - A 系列产品在控制冷冻机时，不会考虑以下哪种因素来计算工作冷冻机的最佳台数？,,机房负荷,冷冻水温度设定值的差异,冷却塔的水温,冷冻机电气负荷,,"When the SE - A series products control the chillers, which of the following factors is not considered to calculate the optimal number of operating chillers?",Plant load,Difference in chilled water temperature setpoints,Water temperature of the cooling tower,Electrical load of the chiller,,C,,
single,S4,SE - A 系列产品中，与隔离阀接口相关的操作不包括以下哪项？,,利用数字输出打开和关闭阀门,利用数字输入获得阀门启 / 闭状态反馈,自动调节隔离阀的流量大小,根据控制逻辑控制隔离阀的动作,,Which of the following operations is not related to the isolation valve interface in the SE - A series products?,Open and close the valve using digital output,Obtain the valve open/closed status feedback using digital input,Automatically adjust the flow rate of the isolation valve,Control the action of the isolation valve according to the control logic,,C,,
single,S5,SE - A 系列控制器在变流量一次泵控制中，若选用 Armstrong DE 泵，泵的启 / 闭控制依据是什么？,,随机启动,根据各泵的最佳效率点计算出最高效的工作泵组合,按照时间顺序依次启动,一台工作冷冻机配一台泵的固定模式,,"In the variable - flow primary pump control of the SE - A series controller, if the Armstrong DE pump is selected, what is the basis for controlling the start/stop of the pump?",Random start,Calculate the most efficient combination of operating pumps based on the best efficiency points of each pump,Start in sequence according to time,A fixed mode of one operating chiller with one pump,,B,,
single,S6,SE - A 系列控制器在调节旁通阀时的主要目的是什么？,,维持最高流量水平,维持最低流量水平,调节流量使其保持恒定,根据温度变化调节流量,,What is the main purpose of the SE - A series controller when adjusting the bypass valve?,Maintain the highest flow level,Maintain the lowest flow level,Adjust the flow rate to keep it constant,Adjust the flow rate according to temperature changes,,B,,
single,S7,SE - A 系列产品的主要控制逻辑中，不包括以下哪项？,,基于需求大小控制冷冻机台数,仅根据时间控制水泵转速,对区域信号实施持续监控,调节旁通阀维持流量,,Which of the following is not included in the main control logic of the SE - A series products?,Control the number of chillers based on demand,Control the pump speed only according to time,Continuously monitor regional signals,Adjust the bypass valve to maintain the flow rate,,B,,
single,S8,SE - A 系列产品在控制冷冻机顺序时，以下哪个不是考虑因素？,,机房负荷,冷冻机高流量状态,户外温度传感器数据,冷冻机的颜色,,"When the SE - A series products control the chiller sequence, which of the following is not a consideration?",Plant load,High - flow state of the chiller,Data from outdoor temperature sensors,Color of the chiller,,D,,
single,S9,SE - A 系列产品在控制变流量一次泵的泵速时，在配有区域传感器的条件下，依据什么信号决定泵的工作转速？,,仅区域温度传感器信号,仅区域差压传感器信号,区域差压传感器或区域温度传感器的信号,机房总压力传感器信号,,"When the SE - A series products control the pump speed of variable - flow primary pumps and are equipped with regional sensors, what signal is used to determine the operating speed of the pump?",Only the signal from the regional temperature sensor,Only the signal from the regional differential pressure sensor,The signal from the regional differential pressure sensor or the regional temperature sensor,The signal from the total pressure sensor in the plant,,C,,
single,S10,SE - A 系列产品适用于以下哪种系统？,,仅舒适制冷系统,仅工艺制冷系统,舒适或者工艺制冷系统,制热系统,,Which of the following systems is the SE - A series products applicable to?,Only comfort cooling systems,Only process cooling systems,Comfort or process cooling systems,Heating systems,,C,,
single,S11,SE - A 系列产品在控制冷冻机流量时，通过什么方式将其维持在设定范围内？,,仅调节泵的启停,仅调节泵速,调节泵的启停和泵速,手动调节流量阀门,,How does the SE - A series products maintain the chiller flow rate within the set range?,Only adjust the start/stop of the pump,Only adjust the pump speed,Adjust the start/stop and speed of the pump,Manually adjust the flow valve,,C,,
single,S12,SE - A 系列产品在控制冷冻机房设备时，对于不同品牌的冷冻机如何进行通信控制？,,无法通信,通过预先列出的 Modbus/BACnet/Lonworks 协议映射实现通信,只能使用特定品牌的协议,手动设置通信参数,,"When the SE - A series products control the equipment in the chiller plant, how do they communicate and control chillers of different brands?",Cannot communicate,Achieve communication through pre - listed Modbus/BACnet/Lonworks protocol mapping,Can only use the protocols of specific brands,Manually set communication parameters,,B,,
single,S13,SE - A 系列产品相比传统产品，在节能方面的优势主要体现在哪里？,,采用新型的制冷技术,优化控制逻辑，降低设备运行能耗,减少设备数量,增加设备功率,,"Compared with traditional products, where does the energy - saving advantage of the SE - A series products mainly lie?",Adopt new refrigeration technology,Optimize the control logic to reduce equipment operation energy consumption,Reduce the number of devices,Increase the equipment power,,B,,
single,S14,SE - A 系列产品在安装阶段的优势不包括以下哪项？,,低风险安装,避免启动延迟,增加安装成本,减少现场安装时间,,Which of the following is not an advantage of the SE - A series products during the installation stage?,Low - risk installation,Avoid start - up delay,Increase installation costs,Reduce on - site installation time,,C,,
single,S15,SE - A 系列产品在运维阶段，相对于手动控制机房，能降低多少运营风险？,,10% - 20%,15% - 30%,30% - 40%,40% - 60%,,"During the operation and maintenance stage, compared with manually controlled chiller plants, how much can the SE - A series products reduce the operation risk?",10% - 20%,15% - 30%,30% - 40%,40% - 60%,,B,,
single,S16,SE - A 系列产品在现有可变一次流量冷冻机房中，安装后的投资回报期通常是多久？,,不到 1 年,1 - 2 年,2 - 3 年,3 - 5 年,,"In the existing variable primary - flow chiller plants, what is the typical payback period of the SE - A series products after installation?",Less than 1 year,1 - 2 years,2 - 3 years,3 - 5 years,,B,,
single,S17,SE - A 系列产品在提升设备可靠性方面的作用主要体现在哪里？,,增加设备冗余,优化控制逻辑，减少设备故障,提高设备功率,更换设备部件,,Where does the role of the SE - A series products in enhancing equipment reliability mainly lie?,Increase equipment redundancy,Optimize the control logic to reduce equipment failures,Increase the equipment power,Replace equipment components,,B,,
single,S18,SE - A 系列产品在兼容楼宇管理系统方面，主要通过什么实现最佳效率分级？,,机房能效分析和不同设备实时前馈控制,增加管理系统的功能,更换管理系统软件,手动调整设备参数,,"In terms of being compatible with building management systems, how does the SE - A series products achieve the best efficiency classification?",Plant energy efficiency analysis and real - time feed - forward control of different devices,Increase the functions of the management system,Replace the management system software,Manually adjust equipment parameters,,A,,
single,S19,SE - A 系列产品在调试阶段的优势不包括以下哪项？,,调试过程简单,可实现机房透明运营,增加调试成本,更快交接,,Which of the following is not an advantage of the SE - A series products during the commissioning stage?,Simple commissioning process,Achieve transparent operation of the chiller plant,Increase commissioning costs,Faster handover,,C,,
single,S20,以下哪个控制产品没有热平衡界面？,,SE-A10,EE-W10,EE-W20,IPC9551,,Which of the following control products does not have a heat balance interface?,SE - A10,EE - W10,EE - W20,IPC9551,,A,,
multiple,M1,SE - A 系列产品的特点包括（ ）,,预置程序控制系统,可现场配置,仅能独立运行，不能与 BAS 互补运行,基于远程访问功能提供支持和故障排除,,The characteristics of the SE - A series products include (),Pre - programmed control system,Field - configurable,Can only operate independently and cannot operate complementarily with BAS,Provide support and troubleshooting based on remote access function,,ABD,,
multiple,M2,3 台风冷冷水主机的机房可以选用以下哪些控制产品？,,ITC9521,EE-W20,SE-A20,IPC9521 + Optivisor,SE-A10,Which control products can be selected for a chiller plant with 3 air - cooled water chillers?,ITC9521,EE - W20,SE - A20,IPC9521 + Optivisor,SE - A10,CE,,
multiple,M3,EE-A 系统不能用于控制什么类型的制冷系统？,,水冷,风冷,多联机,热泵,,What types of refrigeration systems cannot be controlled by the EE - A system?,Water - cooled,Air - cooled,Multi - split systems,Heat pump systems,,ACD,,
multiple,M4,SE - A 系列控制器在控制冷冻机时，会考虑以下哪些因素来计算工作冷冻机的最佳台数？,,机房负荷,冷冻水温度设定值的差异,冷冻机电气负荷,冷冻机高流量状态,,"When the SE - A series controller controls the chillers, which of the following factors are considered to calculate the optimal number of operating chillers?",Plant load,Difference in chilled water temperature setpoints,Electrical load of the chiller,High - flow state of the chiller,,ABCD,,
multiple,M5,SE - A 系列产品中，与隔离阀接口相关的操作有（ ）,,利用数字输出打开和关闭阀门,利用数字输入获得阀门启 / 闭状态反馈,调节隔离阀的流量大小,根据控制逻辑控制隔离阀的动作,,The operations related to the isolation valve interface in the SE - A series products include (),Open and close the valve using digital output,Obtain the valve open/closed status feedback using digital input,Adjust the flow rate of the isolation valve,Control the action of the isolation valve according to the control logic,,ABD,,
multiple,M6,SE - A 系列控制器在变流量一次泵控制方面的特点包括（ ）,,若选用 Armstrong DE 泵，根据各泵的最佳效率点计算工作泵组合,依据一台工作冷冻机配一台泵的模式（非 DE 泵时）,配有区域传感器时，依据区域差压或温度传感器信号决定泵速,通过调节维持冷冻机流量在设定范围内,,The characteristics of the SE - A series controller in variable - flow primary pump control include (),"If the Armstrong DE pump is selected, calculate the operating pump combination based on the best efficiency points of each pump",Based on the mode of one operating chiller with one pump (when not using the DE pump),"When equipped with regional sensors, determine the pump speed based on the signals of regional differential pressure or temperature sensors",Maintain the chiller flow rate within the set range through adjustment,,ABCD,,
multiple,M7,SE - A 系列控制器的主要控制逻辑涉及（ ）,,基于需求大小控制冷冻机台数,冷冻机顺序控制,变流量一次泵控制,区域信号监控与旁通阀调节,,The main control logic of the SE - A series controller involves (),Control the number of chillers based on demand,Chiller sequence control,Variable - flow primary pump control,Regional signal monitoring and bypass valve adjustment,,ABCD,,
multiple,M8,SE - A 系列产品可应用于以下哪些场景？,,商业建筑的空调系统,工业生产的冷却系统,医院的制冷设备,数据中心的散热系统,,The SE - A series products can be applied to which of the following scenarios?,Air - conditioning systems in commercial buildings,Cooling systems in industrial production,Refrigeration equipment in hospitals,Heat - dissipation systems in data centers,,ABCD,,
multiple,M9,SE - A 系列产品在控制冷冻机流量时，采用的方法包括（ ）,,调节泵的启停,调节泵速,控制隔离阀的开闭,调整冷冻机的功率,,The methods used by the SE - A series products in the process of controlling the chiller flow rate include (),Adjust the start/stop of the pump,Adjust the pump speed,Control the opening and closing of the isolation valve,Adjust the power of the chiller,,ABC,,
multiple,M10,SE - A 系列产品在一次泵变流量系统中，泵的启动模式有（ ）,,选用 Armstrong DE 泵时依据最佳效率点计算启动,非 DE 泵时一台工作冷冻机配一台泵启动,所有泵同时启动,根据压力情况启动,,"In the primary pump variable - flow system of the SE - A series products, what are the start - up modes of the pumps?","When the Armstrong DE pump is selected, start based on the calculation of the best efficiency points","When not using the DE pump, start with one operating chiller with one pump",All pumps start simultaneously,Start according to the pressure situation,,AB,,
multiple,M11,SE - A 系列产品在控制区域信号方面的作用包括（ ）,,确定活动控制区域,检测区域温度变化,监测区域压力波动,为设备控制提供参考依据,,The functions of the SE - A series products in controlling regional signals include (),Determine the active control area,Detect regional temperature changes,Monitor regional pressure fluctuations,Provide a reference basis for equipment control,,AD,,
multiple,M12,SE - A 系列产品相比传统产品，在节能方面的优势体现在以下哪些方面？,,采用并联无传感器控制技术,优化控制策略，降低设备运行能耗,减少不必要的设备运行时间,提高设备的能源转换效率,,"Compared with traditional products, the energy - saving advantages of the SE - A series products are reflected in which of the following aspects?",Adopt parallel sensor - less control technology,Optimize the control strategy to reduce equipment operation energy consumption,Reduce unnecessary equipment operation time,Improve the energy conversion efficiency of equipment,,ABC,,
multiple,M13,SE - A 系列产品在安装阶段的优势有（ ）,,低风险安装,避免启动延迟,减少现场安装时间,降低安装成本,,The advantages of the SE - A series products during the installation stage include (),Low - risk installation,Avoid start - up delay,Reduce on - site installation time,Reduce installation costs,,ABCD,,
multiple,M14,SE - A 系列产品在运维阶段的优势包括（ ）,,可远程访问进行故障排查,直接获得工厂技术支持,减少人工现场运维工作量,快速定位和解决问题,,The advantages of the SE - A series products during the operation and maintenance stage include (),Remote access for troubleshooting,Direct access to factory technical support,Reduce manual on - site operation and maintenance workload,Quickly locate and solve problems,,ABCD,,
multiple,M15,SE - A 系列产品在降低系统成本方面的综合方法有（ ）,,采用高效的控制技术提高能效,优化设备冗余配置，降低设备采购成本,减少安装和调试成本,降低运行能耗成本,,The comprehensive methods for the SE - A series products to reduce system costs include (),Adopt efficient control technology to improve energy efficiency,Optimize equipment redundancy configuration to reduce equipment procurement costs,Reduce installation and commissioning costs,Reduce operation energy consumption costs,,ABCD,,
multiple,M16,SE - A 系列产品在兼容楼宇管理系统方面的作用有（ ）,,提供自动化运行功能,实现节能优化控制,降低管理难度,增强系统稳定性,,The functions of the SE - A series products in being compatible with building management systems include (),Provide automated operation functions,Achieve energy - saving optimization control,Reduce management difficulty,Enhance system stability,,ABCD,,
multiple,M17,SE - A 系列产品在调试阶段的优势体现为（ ）,,调试过程简单,可实现机房透明运营,轻松验证安装可信度,更快交接,,The advantages of the SE - A series products during the commissioning stage are reflected in (),Simple commissioning process,Achieve transparent operation of the chiller plant,Easily verify the installation credibility,Faster handover,,ABCD,,
multiple,M18,SE - A 系列产品在确保设备和系统运行符合设计意图方面的方式有（ ）,,优化控制逻辑,远程支持与监控,定期检测与校准,按照标准操作流程运行,,The ways for the SE - A series products to ensure that the equipment and system operation meet the design intent include (),Optimize the control logic,Remote support and monitoring,Regular inspection and calibration,Operate in accordance with the standard operating procedures,,ABCD,,
multiple,M19,SE - A 系列产品在满足各种应用要求方面的特点包括（ ）,,适应复杂的工业环境,满足高负荷运行需求,具备高可靠性和稳定性,可灵活调整控制策略,,The characteristics of the SE - A series products in meeting various application requirements include (),Adapt to complex industrial environments,Meet high - load operation requirements,Have high reliability and stability,Flexibly adjust the control strategy,,ABCD,,
multiple,M20,SE - A 系列产品在投资回报方面的优势有（ ）,,投资回报期短,能有效降低运营成本，提高回报,可通过节能等方式增加收益,设备使用寿命延长，减少更换成本,,The advantages of the SE - A series products in terms of return on investment include (),Short payback period,Effectively reduce operating costs and improve returns,Increase revenue through energy - saving and other means,Prolong the equipment service life and reduce replacement costs,,ABCD,,
judge,J1,SE - A 系列产品只能用于风冷式二次变流量冷冻机房控制。（ ）,,正确,错误,,,,The SE - A series products can only be used for the control of air - cooled secondary variable - flow chiller plants. ( ),TRUE,FALSE,,,,错误,,
judge,J2,SE - A 系列控制器控制的等大水泵数量（含备用泵）可超过 5 台，超过 5 台申请 NCP 即可。（ ）,,正确,错误,,,,The number of equal - sized water pumps (including standby pumps) controlled by the SE - A series controller can exceed 5. An application for NCP is required when it exceeds 5. ( ),TRUE,FALSE,,,,正确,,
judge,J3,SE - A 10 系列标准控制器控制的等大水泵数量（含备用泵）最多 3 台。（ ）,,正确,错误,,,,The maximum number of equal - sized water pumps (including standby pumps) that the SE - A 10 series standard controller can control is 3. ( ),TRUE,FALSE,,,,正确,,
judge,J4,SE - A 20 系列标准控制器控制的等大水泵数量（含备用泵）最多 5 台。（ ）,,正确,错误,,,,The maximum number of equal - sized water pumps (including standby pumps) that the SE - A 20 series standard controller can control is 5. ( ),TRUE,FALSE,,,,正确,,
judge,J5,SE - A 系列产品只能用于风冷式二次变流量冷冻机房控制。（ ）,,正确,错误,,,,The SE - A series products can only be used for the control of air - cooled secondary variable - flow chiller plants. ( ),TRUE,FALSE,,,,错误,,
judge,J6,SE - A 系列产品在控制冷冻机时，不会考虑冷冻机高流量状态。（ ）,,正确,错误,,,,"When the SE - A series products control the chillers, they do not consider the high - flow state of the chillers. ( )",TRUE,FALSE,,,,错误,,
judge,J7,SE - A 系列产品中，隔离阀只能手动控制其开关。（ ）,,正确,错误,,,,"In the SE - A series products, the isolation valve can only be controlled manually to open and close. ( )",TRUE,FALSE,,,,错误,,
judge,J8,SE - A 系列控制器调节旁通阀是为了维持最高流量水平。（ ）,,正确,错误,,,,The SE - A series controller adjusts the bypass valve to maintain the highest flow level. ( ),TRUE,FALSE,,,,错误,,
judge,J9,SE - A 系列产品的主要控制逻辑不包括区域信号监控。（ ）,,正确,错误,,,,The main control logic of the SE - A series products does not include regional signal monitoring. ( ),TRUE,FALSE,,,,错误,,
judge,J10,SE - A 系列产品在控制冷冻机顺序时，只依据机房负荷。（ ）,,正确,错误,,,,"When the SE - A series products control the chiller sequence, they only rely on the plant load. ( )",TRUE,FALSE,,,,错误,,
judge,J11,SE - A 系列控制器与外部 BMS 设备通信仅支持 Modbus 协议。（ ）,,正确,错误,,,,The SE - A series controller only supports the Modbus protocol for communication with external BMS devices. ( ),TRUE,FALSE,,,,错误,,
judge,J12,SE - A 系列产品在控制变流量一次泵的泵速时，有且仅有一种控制依据。（ ）,,正确,错误,,,,"When the SE - A series products control the pump speed of variable - flow primary pumps, there is only one control basis. ( )",TRUE,FALSE,,,,错误,,
judge,J13,SE - A 系列产品不适用于工艺制冷系统。（ ）,,正确,错误,,,,The SE - A series products are not applicable to process cooling systems. ( ),TRUE,FALSE,,,,错误,,
judge,J14,SE - A 系列产品在控制大小主机运行时，可以随意同时开启。（ ）,,正确,错误,,,,"When the SE - A series products control the operation of large and small main units, they can be turned on simultaneously at will. ( )",TRUE,FALSE,,,,错误,,
judge,J15,SE - A 系列产品在控制冷冻机流量时，不需要调节泵速。（ ）,,正确,错误,,,,"When the SE - A series products control the chiller flow rate, there is no need to adjust the pump speed. ( )",TRUE,FALSE,,,,错误,,
judge,J16,SE - A 系列产品在控制风冷式冷冻机时，主要调节的参数是冷冻机的功率。（ ）,,正确,错误,,,,"When the SE - A series products control air - cooled chillers, the main parameter to be adjusted is the power of the chiller. ( )",TRUE,FALSE,,,,错误,,
judge,J17,SE - A 系列产品在一次泵变流量系统中，所有泵都是同时启动的。（ ）,,正确,错误,,,,"In the primary pump variable - flow system of the SE - A series products, all pumps start simultaneously. ( )",TRUE,FALSE,,,,错误,,
judge,J18,SE - A 系列产品在控制区域信号时，对设备控制没有作用。（ ）,,正确,错误,,,,"When the SE - A series products control regional signals, it has no effect on equipment control. ( )",TRUE,FALSE,,,,错误,,
judge,J19,SE - A 系列产品在控制冷冻机房设备时，对于不同品牌的冷冻机无法进行通信控制。（ ）,,正确,错误,,,,"When the SE - A series products control the equipment in the chiller plant, they cannot communicate and control chillers of different brands. ( )",TRUE,FALSE,,,,错误,,
judge,J20,SE - A 系列产品在运维阶段，不能远程访问进行故障排查。（ ）,,正确,错误,,,,"During the operation and maintenance stage, the SE - A series products cannot be remotely accessed for troubleshooting. ( )",TRUE,FALSE,,,,错误,,
essay,E1,以下五台风冷冷水主机的系统应该选用哪款控制产品，并需配置几个温度传感器？,图片,,,,,,"Which control product should be selected for a system with five air - cooled water chillers, and how many temperature sensors need to be configured?",,,,,,SE-A20，2个温度传感器 ,,
